Test_ID,Predicted_Reference_Parameter,Predicted_Validity
TST-0278,32.07793799999999,Invalid
TST-0006,19.227722999999983,Valid
TST-0047,52.99756800000004,Valid
TST-0311,25.379831000000014,Valid
TST-0264,18.510700000000007,Invalid
TST-0169,20.27898899999999,Valid
TST-0269,18.479325999999993,Valid
TST-0178,15.226524,Invalid
TST-0206,32.84225000000004,Valid
TST-0038,17.813888,Valid
TST-0213,14.090717999999987,Invalid
TST-0309,16.253073000000004,Valid
TST-0059,33.14121900000002,Valid
TST-0159,18.44475799999998,Valid
TST-0235,20.035970999999996,Valid
TST-0230,21.23605699999999,Valid
TST-0323,36.583520000000014,Valid
TST-0262,19.282111,Valid
TST-0274,14.327357,Valid
TST-0214,49.009469000000024,Valid
TST-0024,39.628592,Valid
TST-0234,17.217578999999997,Valid
TST-0333,21.752369000000016,Valid
TST-0060,20.12199899999998,Valid
TST-0226,35.827476999999995,Valid
TST-0197,16.432352,Valid
TST-0346,41.19354799999997,Valid
TST-0192,25.055708999999997,Valid
TST-0141,28.160353999999984,Valid
TST-0222,38.950384000000014,Invalid
TST-0232,19.316445,Valid
TST-0085,23.55262800000001,Valid
TST-0237,32.635166999999996,Valid
TST-0001,36.223065999999996,Valid
TST-0069,16.86736200000001,Valid
TST-0272,23.377205000000007,Valid
TST-0343,35.12705000000003,Valid
TST-0320,26.719287000000023,Valid
TST-0008,31.994585999999998,Invalid
TST-0144,23.100768,Valid
TST-0184,22.02136500000001,Valid
TST-0107,50.79247300000004,Valid
TST-0026,42.177166000000035,Valid
TST-0164,42.08324499999999,Valid
TST-0217,34.48612900000003,Valid
TST-0332,30.315588,Invalid
TST-0279,23.845545,Valid
TST-0243,18.449796000000003,Valid
TST-0163,21.116894999999996,Valid
TST-0131,30.099556999999994,Valid
TST-0070,16.396988999999998,Valid
TST-0137,18.694344999999984,Valid
TST-0210,28.736439999999988,Valid
TST-0288,20.725391000000016,Valid
TST-0248,24.639674000000017,Valid
TST-0277,21.82821699999998,Valid
TST-0215,22.02927299999999,Valid
TST-0138,17.212680000000002,Valid
TST-0228,17.570708000000003,Valid
TST-0252,49.00000100000004,Valid
TST-0205,29.817772000000023,Valid
TST-0348,22.511055999999993,Valid
TST-0177,22.430199000000016,Valid
TST-0267,38.58467200000002,Valid
TST-0308,22.871506999999998,Valid
TST-0087,40.779301999999994,Invalid
TST-0117,17.043909999999993,Valid
TST-0014,18.65068900000002,Valid
TST-0154,23.960027999999998,Valid
TST-0207,46.811727,Valid
TST-0187,21.82948499999999,Valid
TST-0236,21.005584999999982,Valid
TST-0283,39.04340899999999,Invalid
TST-0089,18.18307999999999,Valid
TST-0202,22.557642999999995,Valid
TST-0160,17.913173999999998,Valid
TST-0036,25.862887999999998,Valid
TST-0275,47.947279999999985,Valid
TST-0023,34.502268000000015,Valid
TST-0091,43.53713600000002,Valid
TST-0151,43.19457900000001,Valid
TST-0310,23.101226000000008,Valid
TST-0239,14.896057999999984,Valid
TST-0331,32.20179999999996,Valid
TST-0316,13.413571999999997,Invalid
TST-0338,14.539106999999996,Valid
TST-0019,19.971052,Valid
TST-0168,13.868561000000005,Invalid
TST-0007,18.596770999999997,Valid
TST-0211,31.37674100000001,Valid
TST-0016,37.21139300000004,Valid
TST-0027,19.457148000000004,Invalid
TST-0031,17.001598999999995,Invalid
TST-0249,31.165958000000018,Valid
TST-0011,16.243320999999984,Valid
TST-0080,23.110690999999992,Valid
TST-0121,16.615163000000013,Valid
TST-0266,19.613989999999994,Valid
TST-0198,22.137638000000006,Valid
TST-0067,30.84496400000002,Valid
TST-0102,21.536558000000003,Valid
TST-0005,36.328736000000006,Valid
TST-0003,31.606635999999998,Valid
TST-0132,46.187076000000005,Valid
TST-0029,26.651648000000012,Valid
